file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,199,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,53
style.css,200,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,1,6
style.css,201,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,1,14
style.css,202,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,0
style.css,203,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,0
style.css,204,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,14
style.css,205,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,12
style.css,206,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,18
style.css,207,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,9
style.css,208,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,15
style.css,209,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,20
style.css,210,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,19
style.css,211,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,16
style.css,212,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,0
style.css,213,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,0
style.css,214,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,22
style.css,215,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,20
style.css,216,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,9
style.css,217,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,10
style.css,218,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,18
style.css,219,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,17
style.css,220,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,23
style.css,221,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,66
style.css,222,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,0
style.css,223,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,0
style.css,224,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,0,41
style.css,225,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,9
